sigla,lat,lon,h,bx,bz,bi
cha_3600,-16.3500,-68.1300,5230.0000,22.3800,-4.6200,23.1120
ata_3600,-23.0058,-67.7592,5105.0000,20.6380,-8.5980,22.5000
khun_3600,36.510,75.250,4700.000,28.896,44.161,52.726
ima_3600,-15.8410,-71.0910,4600.0000,22.9690,-3.7900,23.4220
kom_3600,44.270,15.440,4587.000,23.028,41.983,47.884
sng_3600,18.1600,-97.9500,4550.0000,27.3580,28.0380,39.2170
tib_3600,31.4200,86.5600,4500.0000,32.8680,39.4030,51.3120
zard_3600,32.354,49.475,4221.000,29.833,36.581,47.203
mks_3600,19.350,-155.580,4205.000,27.464,20.251,34.123
and_3600,-30.1900,-69.8200,4200.0000,19.6580,-11.9510,23.0110
lpb_3600,-16.4900,-68.1500,3630.0000,22.3620,-4.7080,23.1090
jun_3600,46.325,7.584,3454.000,22.038,42.626,47.986
ber_3600,7.1900,-72.8800,3450.0000,26.7510,16.0290,31.4670
cuchu_3600,15.310,-91.360,3250.000,27.177,25.430,37.219
asm_3600,15.202,38.561,3250.000,36.118,12.016,38.064
ker_3600,30.166,57.443,3150.000,31.585,34.898,47.069
fair_3600,39.133,-105.595,3034.000,21.139,45.998,50.623
taw_3600,27.588,91.865,3000.000,35.631,34.127,49.338
quie_3600,-0.2000,-78.5000,2850.0000,26.7170,9.9710,28.5790
serb_3600,-1.8100,-78.7400,2750.0000,26.5770,8.4990,27.9520
srm_3600,4.3600,-75.2300,2750.0000,26.8150,13.6300,30.0840
casp_3600,-31.2200,-69.6300,2600.0000,19.4730,-12.4360,23.1090
asp_3600,39.110,106.500,2405.000,21.219,45.844,50.517
add_3600,9.159,38.450,2355.000,35.707,2.106,35.769
pamp_3600,7.2200,-72.3900,2342.0000,26.7430,15.9550,31.4430
pue_3600,19.216,-98.121,2143.000,26.997,28.579,39.314
pra_3600,37.540,-3.236,2143.000,27.546,33.868,43.656
sudb_3600,46.4600,-81.1700,2100.0000,17.0370,51.9910,54.7900
sha_3600,32.190,50.510,2070.000,30.067,36.472,47.267
erz_3600,39.540,41.150,1890.000,25.357,42.016,49.074
alb_3600,35.084,-106.650,1619.000,22.817,42.540,48.273
denv_3600,39.739,-104.990,1609.000,20.863,46.587,51.045
shi_3600,29.364,52.315,1500.000,31.694,33.680,46.247
gua_3600,14.6300,-90.5900,1490.0000,27.5320,24.9320,37.1450
mge_3600,-35.4500,-69.5700,1450.0000,18.9870,-14.3260,23.7900
bra_3600,-15.4640,-47.5530,1172.0000,20.1480,-11.9310,23.4158
sjs_3600,9.556,-84.450,1172.000,27.216,19.757,33.631
bga_3600,7.1400,-73.1200,956.0000,26.7930,16.0550,31.5060
truj_3600,39.4700,-5.8800,560.0000,26.2230,35.8440,44.4130
chia_3600,16.7500,-93.1200,522.0000,27.4050,27.0240,38.4970
lim_3600,-12.1000,-77.0200,150.0000,24.7230,-0.4760,24.7510
iqa_3600,63.7500,-68.5500,34.0000,9.6300,55.9280,56.7500
lond_3600,51.3020,-0.7390,24.0000,19.5420,45.0440,49.1020
std_3600,18.2800,-69.5400,14.0000,26.8900,25.2800,36.9090
lisb_3600,38.4200,-9.8800,0.0000,27.0000,34.9840,44.0200
